,Accuracy,Precision,Recall,F-score,FPR,AUC,MCC
Logistic Regression (meta),0.8729769494850417,0.796812749003984,0.49019607843137253,0.6069802731411229,0.03126916002452483,0.8924994890660126,0.5588303391505943
Majority Voting (uniform),0.8616969102501226,0.7058823529411765,0.5294117647058824,0.6050420168067226,0.05518087063151441,0.8827962515478294,0.5312352813020407
Weighted Voting (accuracy),0.8612064737616478,0.7062706270627063,0.5245098039215687,0.6019690576652602,0.054567749846719804,0.883544619564564,0.528573271423952
Weighted Voting (exponential),0.8641490926924963,0.7330960854092526,0.5049019607843137,0.5979680696661829,0.04598405885959534,0.8869242976160422,0.5326347120029594
