,Accuracy,Precision,Recall,F-score,FPR,AUC,MCC
AdaBoost,0.8607160372731731,0.6771428571428572,0.5808823529411765,0.6253298153034301,0.06928264868179031,0.8819464481071397,0.5427983263009055
Gradient Boost,0.8719960765080922,0.8237885462555066,0.4583333333333333,0.5889763779527559,0.024524831391784182,0.8922274918551112,0.5517763678207258
Random Forest,0.868563021088769,0.78,0.47794117647058826,0.5927051671732523,0.03372164316370325,0.8756191317728809,0.5418505754871913
Linear SVM,0.8577734183423247,0.7137681159420289,0.48284313725490197,0.5760233918128655,0.04843654199877376,0.8407704283430111,0.508010600968615
Decision Tree,0.8567925453653752,0.7338709677419355,0.44607843137254904,0.5548780487804879,0.0404659717964439,0.842784860725406,0.49647194933466693
Naive Bayes,0.8121628249141736,0.5243664717348928,0.6593137254901961,0.5841476655808904,0.1496014714898835,0.8076002933362185,0.4699440845836186
