,Accuracy,Precision,Recall,F-score,FPR,AUC,MCC
Best standalone: AdaBoost,0.8607160372731731,0.6771428571428572,0.5808823529411765,0.6253298153034301,0.06928264868179031,0.8819464481071397,0.5427983263009055
Best ensemble: Logistic Regression (meta),0.8729769494850417,0.796812749003984,0.49019607843137253,0.6069802731411229,0.03126916002452483,0.8924994890660126,0.5588303391505943
Improvement (delta),0.012260912211868535,0.11966989186112686,-0.09068627450980399,-0.01834954216230722,-0.038013488657265476,0.010553040958872884,0.016032012849688804
